point,xgboost_rmse,other_mean_rmse,advantage,xgboost_rank,Autoformer_RMSE,Informer_RMSE,LSTM类模型_RMSE,LightGBM_RMSE,N-HiTS_RMSE,TimesFM_RMSE,XGBoost_RMSE
point158,0.0019453477992581617,0.010175300412694939,0.008229952613436778,1,0.01756631508834583,0.01110776716637164,0.002061445622962145,0.002099831317407138,0.00959593061468106,0.018620512666401818,0.0019453477992581617
point429,0.002918018824462666,0.010986208857266087,0.00806819003280342,1,0.01617343193940902,0.010487518172744617,0.0029603477347362474,0.0029742162935237223,0.010585382822042095,0.022736356181140827,0.002918018824462666
point378,0.0015691611069831,0.00957734615990612,0.00800818505292302,1,0.019211257252677687,0.012251480132057952,0.0018002239163673708,0.0018207989021113299,0.0090255415813171,0.013354775174905291,0.0015691611069831
point331,0.00246612189078318,0.01043888773289617,0.00797276584211299,1,0.01428788978728056,0.008436669975835793,0.002668708787430003,0.002545387265712236,0.010505841630402512,0.02418882895071592,0.00246612189078318
point307,0.002716724096213035,0.010238450917823674,0.007521726821610639,1,0.01534965345327315,0.011222117669101908,0.0028440440896456043,0.002837862948048043,0.009052871932940939,0.02012415541393241,0.002716724096213035
point219,0.0020811367536346208,0.009287846808078154,0.007206710054443533,1,0.016800562253018878,0.01043637847125623,0.0021894899627831694,0.0021882194437360366,0.009227861705503984,0.014884569012170622,0.0020811367536346208
point106,0.0021131544498390773,0.009308419691916271,0.0071952652420771935,1,0.01576582187104671,0.010695710684643768,0.002279647247054142,0.002296576716798595,0.0088879162911496,0.015924845340804815,0.0021131544498390773
point673,0.003752711071607158,0.010732163999345611,0.006979452927738453,1,0.015901667470016943,0.011929540977037434,0.003978026312454957,0.0037760491051612157,0.010247378120033943,0.01856032201136917,0.003752711071607158
point488,0.015891017961658763,0.016564562916517225,0.0006735449548584613,1,0.019516709421886883,0.016138528509817052,0.016025388427484587,0.015902185866872247,0.015896279917676205,0.015908285355366383,0.015891017961658763
point187,0.006987883001161969,0.043197881912888515,0.03620999891172655,2,0.030601521032942443,0.019476868725732364,0.0039119260177655005,0.007401261444000987,0.008519344293905738,0.18927636996298405,0.006987883001161969
point930,0.002967576276207357,0.035256170724688334,0.03228859444848098,2,0.03353533185937867,0.020340110328923265,0.006054468997141794,0.002789394469823942,0.020797730185109577,0.12801998850775273,0.002967576276207357
point283,0.0034269097689005094,0.035677778773067576,0.032250869004167064,2,0.01814020965086639,0.006712676695875879,0.001868946744787123,0.0036809752322671738,0.006883931055330601,0.1767799332592783,0.0034269097689005094
point435,0.00907704253101521,0.04108512011389648,0.03200807758288127,2,0.07002031224562279,0.04082273938789529,0.008298279890571634,0.009351806016918885,0.02470620577318887,0.09331137736918145,0.00907704253101521
point198,0.012099276122609833,0.04024403482441705,0.028144758701807222,2,0.031456717044154744,0.019271017351056692,0.010635393047071503,0.01232627644168588,0.01241183817533628,0.15536296688719722,0.012099276122609833
point949,0.005026357077661501,0.03307503942428589,0.02804868234662439,2,0.05653038544979604,0.03625187536852874,0.0065445865286761305,0.00494009584429488,0.02361535486977111,0.07056793848464846,0.005026357077661501
point190,0.003968326674419817,0.030971337018672884,0.027003010344253068,2,0.027998115981572584,0.02126375811723946,0.006150259118914245,0.0038087268635235974,0.022108893629139315,0.1044982684016481,0.003968326674419817
point350,0.005087196497739795,0.029800914866420832,0.024713718368681036,2,0.0360074374238268,0.02485032497330433,0.005115591772689265,0.004721537165633525,0.019533291914103978,0.0885773059489671,0.005087196497739795
point734,0.0030966549650275994,0.027688922578446046,0.024592267613418445,2,0.038434777743917306,0.025424360652915777,0.004484829233343694,0.0029446239244699597,0.021434828631776558,0.07341011528425298,0.0030966549650275994
point646,0.006747007174759308,0.030840746627966042,0.024093739453206735,2,0.037684207310212874,0.02054004514110912,0.004784035614150495,0.006896240768621156,0.013735854875267389,0.1014040960584352,0.006747007174759308
point592,0.004659687670887339,0.02786618505482843,0.023206497383941094,2,0.03171509506990576,0.021324174369265668,0.0047477887935085785,0.004622862321176196,0.013586513463989022,0.09120067631112536,0.004659687670887339
point512,0.003673445207100722,0.02625680525196604,0.022583360044865317,2,0.04019418074299314,0.020958557159891804,0.0058251833256758615,0.003494004073170787,0.017253240318271294,0.06981566589179336,0.003673445207100722
point705,0.0030732536120338153,0.025549556266893186,0.02247630265485937,2,0.039356290346232024,0.02254844627585995,0.00453553176134637,0.003050468102012911,0.015834445718050136,0.0679721553978577,0.0030732536120338153
point556,0.006452120542091382,0.028807384676614946,0.022355264134523566,2,0.047791398441261734,0.022998158580601884,0.006099664337836223,0.00715191867737552,0.014971247169078127,0.07383192085353618,0.006452120542091382
point329,0.0021740796200616134,0.02451598380406651,0.022341904184004897,2,0.03678904570341606,0.02140074566656082,0.004175950554540329,0.002043080968577354,0.019391896006544125,0.06329518392476034,0.0021740796200616134
point717,0.0019327887508253918,0.024089057996560848,0.022156269245735456,2,0.024816983394281542,0.011074554264115827,0.0026040959717431437,0.0018202596696691544,0.013359489921965093,0.09085896475759034,0.0019327887508253918
